"","year","locality","average_price_m2_nominal_euros"
"110","2015","Wincrange","2885.7066573754801"
"111","2010","Stadtbredimus","2886.59"
"112","2011","Vianden","2887.8292157794449"
"113","2010","Heffingen","2890.24"
"114","2012","Rambrouch","2893.0709999999999"
"115","2011","Reisdorf","2896.5867530701235"
"116","2015","Larochette","2898.0373028454801"
"117","2010","Diekirch","2899.34"
"118","2011","Septfontaines","2899.6455602883793"
"119","2010","Beaufort","2902.76"
"120","2015","Remich","2902.8632878286098"
"121","2011","Beaufort","2905.4311874303062"
"122","2013","Esch-sur-Sûre","2905.93911976355"
"123","2017","Boulaide","2906.2539769999998"
"124","2015","Esch-sur-Sûre","2906.8078723455101"
"125","2013","Differdange","2907.4974849913201"
"126","2013","Clervaux","2907.82337391488"
"127","2011","Useldange","2911.6900958527126"
"128","2014","Rosport","2913.8298925965896"
"129","2011","Differdange","2917.4443837985882"
"130","2011","Berdorf","2919.0292828238971"
"131","2016","Lac de la Haute-Sûre","2921.7153104779727"
"132","2011","Préizerdaul","2926.7764827311316"
"133","2012","Tandel","2927.7150000000001"
"134","2010","Wormeldange","2929.99"
"135","2015","Rambrouch","2931.30986272672"
"136","2012","Useldange","2933.4319999999998"
"137","2018","Wiltz","2935.67"
"138","2017","Wincrange","2936.7433700000001"
"139","2018","Boulaide","2938.56"
"140","2014","Remich","2938.5814403129807"
"141","2010","Putscheid","2939.04"
"142","2010","Boulaide","2943.82"
"143","2013","Rambrouch","2946.1178337565202"
"144","2013","Petange","2947.58027572435"
"145","2010","Kayl","2948.56"
"146","2010","Remich","2949"
"147","2014","Parc Hosingen","2952.2857354121852"
"148","2010","Esch-sur-Alzette","2953.48"
"149","2016","Boulaide","2963.7705993499176"
"150","2014","Esch-sur-Sûre","2964.9272144490956"
"151","2010","Mertzig","2967.37"
"152","2010","Grosbous","2970.34"
"153","2016","Wiltz","2971.7558315675751"
"154","2013","Remich","2971.7992196730002"
"155","2012","Esch-sur-Alzette","2973.8270000000002"
"156","2010","Septfontaines","2974.03"
"157","2013","Bettendorf","2974.8343481933898"
"158","2014","Differdange","2976.8997380914216"
"159","2013","Putscheid","2979.2019687580901"
"160","2011","Kiischpelt","2982.9279401289823"
"161","2014","Clervaux","2983.3233894901091"
"162","2010","Schifflange","2989.49"
"163","2011","Schifflange","2997.4341344012096"
"164","2010","Ettelbruck","3002.54"
"165","2012","Larochette","3005.529"
"166","2011","Diekirch","3008.936651817748"
"167","2013","Bourscheid","3010.3943552544902"
"168","2011","Neunhausen","3011.0386092725921"
"169","2012","Feulen","3012.2049999999999"
"170","2012","Schifflange","3015.0039999999999"
"171","2010","Schengen","3019.56"
"172","2014","Rambrouch","3021.4787562442889"
"173","2017","Remich","3021.8056980000001"
"174","2010","Neunhausen","3024.47"
"175","2012","Ell","3025.9029999999998"
"176","2013","Feulen","3029.28443335561"
"177","2017","Clervaux","3030.7730139999999"
"178","2010","Boevange-sur-Attert","3031.3"
"179","2012","Esch-sur-Sûre","3032.6759999999999"
"180","2010","Biwer","3033.23"
"181","2017","Vianden","3034.0933650000002"
"182","2012","Kayl","3034.1280000000002"
"183","2019","Rambrouch","3037.2310000000002"
"184","2012","Bettendorf","3044.694"
"185","2011","Mertzig","3049.2528130332194"
"186","2010","Useldange","3049.99"
"187","2012","Préizerdaul","3050.4830000000002"
"188","2010","Hobscheid","3051.88"
"189","2012","Bous","3053.4110000000001"
"190","2014","Beaufort","3053.4811761060701"
"191","2013","Kayl","3054.7891253241901"
"192","2010","Berdorf","3055.99"
"193","2011","Esch-sur-Alzette","3056.6536059942755"
"194","2017","Goesdorf","3059.8743439999998"
"195","2011","Feulen","3060.7568549471057"
"196","2012","Mompach","3063.4879999999998"
"197","2015","Differdange","3068.6267970901599"
"198","2010","Lenningen","3068.77"
"199","2013","Esch-sur-Alzette","3072.24413168722"
"200","2010","Grevenmacher","3074"
"201","2016","Vianden","3078.7874809347791"
"202","2014","Diekirch","3082.8783284390038"
"203","2010","Feulen","3087.17"
"204","2010","Vichten","3088.75"
"205","2013","Beaufort","3090.73266239436"
"206","2010","Ell","3090.8"
"207","2014","Bettendorf","3092.3696713160875"
"208","2013","Mertert","3092.8291681159999"
"209","2010","Dudelange","3095.67"
"210","2010","Vianden","3095.91"
"211","2014","Petange","3097.6418786046079"
"212","2018","Berdorf","3103.6170000000002"
"213","2011","Stadtbredimus","3105.3266211663777"
"214","2011","Medernach","3105.3501035347335"
"215","2015","Clervaux","3110.7332443508699"
"216","2017","Lac de la Haute-Sûre","3111.0281610000002"
"217","2016","Kiischpelt","3111.7921506106404"
"218","2010","Waldbillig","3112.11"
"219","2010","Koerich","3112.92"
"220","2013","Schifflange","3113.4342088437402"
"221","2016","Goesdorf","3114.6829422410569"
"222","2012","Waldbillig","3115.0160000000001"
"223","2012","Vallée de l'Ernz","3116.596"
"224","2011","Ell","3116.9880924168665"
"225","2013","Useldange","3117.2412625920801"
"226","2010","Tuntange","3118.44"
"227","2011","Colmar-Berg","3124.6654438968562"
"228","2010","Sanem","3128.45"
"229","2012","Tuntange","3131.8229999999999"
"230","2014","Esch-sur-Alzette","3132.7004398299564"
"231","2012","Redange-sur-Attert","3132.9"
"232","2013","Vallée de l'Ernz","3134.0425540316201"
"233","2010","Manternach","3134.95"
"234","2011","Mertert","3136.1710656229566"
"235","2017","Kiischpelt","3142.0829060000001"
"236","2010","Redange-sur-Attert","3143.18"
"237","2014","Kayl","3143.3011164325694"
"238","2014","Beckerich","3144.501380405216"
"239","2010","Waldbredimus","3145.27"
"240","2018","Wincrange","3146.32"
"241","2015","Rumelange","3146.7982019742599"
"242","2011","Wormeldange","3148.3039180907563"
"243","2012","Bourscheid","3148.6"
"244","2013","Vianden","3151.41107094772"
"245","2014","Mertert","3151.8957232515322"
"246","2011","Heffingen","3152.699288915328"
"247","2011","Kayl","3155.2417905338843"
"248","2010","Préizerdaul","3160.04"
"249","2011","Beckerich","3160.9596263158242"
"250","2011","Boevange-sur-Attert","3162.9493822887439"
"251","2010","Bous","3164.58"
"252","2012","Wahl","3165.0419999999999"
"253","2011","Hobscheid","3165.6791492801099"
"254","2016","Wormeldange","3166.9580063960134"
"255","2012","Ettelbruck","3166.9690000000001"
"256","2012","Vianden","3173.1529999999998"
"257","2010","Flaxweiler","3173.61"
"258","2011","Ettelbruck","3176.6724378997692"
"259","2013","Larochette","3180.1989492380399"
"260","2012","Colmar-Berg","3181.71"
"261","2011","Grosbous","3183.7356683473063"
"262","2016","Clervaux","3185.3214505998899"
"263","2014","Manternach","3187.0506975049975"
"264","2013","Diekirch","3188.63344408374"
"265","2018","Troisvierges","3196.9760000000001"
"266","2015","Schifflange","3198.0624616160098"
"267","2010","Mertert","3199.92"
"268","2017","Troisvierges","3199.9737110000001"
"269","2011","Waldbillig","3200.3161632365459"
"270","2011","Dudelange","3201.953476351991"
"271","2013","Ell","3205.6184245284398"
"272","2011","Bettendorf","3208.398334615209"
"273","2012","Berdorf","3212.7759999999998"
"274","2011","Sanem","3219.2815902651587"
"275","2019","Lac de la Haute-Sûre","3221.5149999999999"
"276","2014","Schifflange","3229.4392999174388"
"277","2014","Feulen","3234.1515323533231"
"278","2010","Bettendorf","3235.26"
"279","2011","Remich","3236.2716985572997"
"280","2012","Remich","3244.018"
"281","2018","Bettendorf","3246.7820000000002"
"282","2012","Dalheim","3249.739"
"283","2010","Moyenne nationale","3251"
"284","2012","Grosbous","3251.6840000000002"
"285","2010","Burmerange","3254.97"
"286","2010","Ermsdorf","3261.34"
"287","2011","Ermsdorf","3261.4819374346134"
"288","2013","Lintgen","3261.9803716838901"
"289","2011","Consdorf","3262.5256593413087"
"290","2016","Bettendorf","3263.1016918754067"
"291","2016","Beaufort","3266.077874265703"
"292","2015","Petange","3267.5904541762902"
"293","2010","Dalheim","3269.23"
"294","2010","Colmar-Berg","3269.3"
"295","2011","Tuntange","3272.271072500851"
"296","2015","Beaufort","3272.5974798795801"
"297","2016","Weiswampach","3275.1115430363056"
"298","2012","Sanem","3275.5189999999998"
"299","2018","Parc Hosingen","3277.056"
"300","2016","Rosport","3278.9541590799913"
"301","2010","Bech","3280.51"
"302","2015","Consdorf","3280.5483486959502"
"303","2011","Redange-sur-Attert","3281.5594993890636"
"304","2012","Bissen","3282.375"
"305","2012","Consdorf","3283.0630000000001"
"306","2019","Kiischpelt","3285.596"
"307","2012","Dudelange","3288.8690000000001"
"308","2010","Nommern","3290.24"
"309","2013","Waldbillig","3295.7414866328199"
"310","2013","Manternach","3296.8484713902299"
"311","2015","Esch-sur-Alzette","3301.6967103372199"
"312","2014","Consdorf","3301.829162985297"
"313","2015","Useldange","3303.89271713776"
"314","2018","Esch-sur-Sûre","3305.6619999999998"
"315","2013","Dudelange","3308.7994353705299"
"316","2014","Redange-sur-Attert","3309.5345085882391"
"317","2014","Saeul","3309.9244069754327"
"318","2014","Useldange","3314.1761753144651"
"319","2019","Wiltz","3315.9549999999999"
"320","2011","Grevenmacher","3316.7864454455807"
"321","2015","Kayl","3318.57427744394"
"322","2014","Grosbous","3320.5371775549238"
"323","2010","Clémency","3321.14"
"324","2010","Bissen","3321.65"
"325","2011","Bissen","3321.7032668331121"
"326","2013","Grosbous","3322.7468843878"
"327","2012","Heffingen","3324.328"
"328","2017","Flaxweiler","3328.2272739999999"
"329","2017","Esch-sur-Sûre","3332.1061840000002"
"330","2012","Wormeldange","3333.8040000000001"
"331","2011","Dalheim","3334.5825498527834"
"332","2015","Reisdorf","3335.9393147825299"
"333","2014","Bissen","3336.5853111355791"
"334","2011","Koerich","3338.2919118436116"
"335","2012","Grevenmacher","3341.1979999999999"
"336","2010","Betzdorf","3343.05"
"337","2010","Bettembourg","3343.22"
"338","2013","Tuntange","3345.94863452242"
"339","2012","Manternach","3350.7890000000002"
"340","2015","Grevenmacher","3351.11588358074"
"341","2014","Dudelange","3351.4355839977889"
"342","2017","Wahl","3351.5223209999999"
"343","2015","Kiischpelt","3354.18058701767"
"344","2016","Rambrouch","3357.1071588614077"
"345","2012","Schengen","3359.6280000000002"
"346","2011","Bourscheid","3361.1572042490156"
"347","2016","Grevenmacher","3362.737917653913"
"348","2013","Redange-sur-Attert","3364.4416894317701"
"349","2019","Wincrange","3365.3519999999999"
"350","2015","Dalheim","3367.7831720613399"
"351","2014","Grevenmacher","3368.9161584322528"
"352","2011","Manternach","3369.3689189923866"
"353","2016","Rumelange","3369.7403642498043"
"354","2015","Vallée de l'Ernz","3369.91374205279"
"355","2011","Moyenne nationale","3375.0889778341648"
"356","2010","Fischbach","3377.71"
"357","2011","Steinfort","3379.6942004587722"
"358","2013","Boevange-sur-Attert","3382.8231371317002"
"359","2014","Waldbillig","3383.5688537303886"
"360","2011","Mompach","3387.1753285863292"
"361","2011","Vichten","3387.398575002228"
"362","2013","Schengen","3387.4756388350702"
"363","2016","Petange","3387.5201177104182"
"364","2015","Rosport","3388.6675650522898"
"365","2013","Wormeldange","3392.8240847991201"
"366","2015","Bettendorf","3393.6938364467001"
"367","2014","Wormeldange","3394.2817187262399"
"368","2014","Colmar-Berg","3395.0261495696977"
"369","2011","Burmerange","3397.8426893074652"
"370","2017","Rumelange","3397.9184690000002"
"371","2018","Lac de la Haute-Sûre","3398.6179999999999"
"372","2013","Grevenmacher","3398.8752146299898"
"373","2018","Echternach","3399.0439999999999"
"374","2010","Steinfort","3400.82"
"375","2015","Mondorf-les-Bains","3402.48908954837"
"376","2010","Mondercange","3405.09"
"377","2015","Diekirch","3406.6736556251999"
"378","2012","Moyenne nationale","3408.7117317609382"
"379","2018","Goesdorf","3411.9760000000001"
"380","2016","Diekirch","3414.7627177844874"
"381","2011","Flaxweiler","3415.4305540362852"
"382","2012","Stadtbredimus","3415.962"
"383","2014","Vallée de l'Ernz","3416.3779894037812"
"384","2016","Differdange","3416.7243289580947"
"385","2010","Mersch","3417.97"
"386","2013","Ettelbruck","3419.4402334676702"
"387","2010","Consdorf","3419.92"
"388","2011","Lintgen","3424.2369334668447"
"389","2013","Schieren","3424.5716762686998"
"390","2011","Clémency","3438.5568824379834"
"391","2012","Diekirch","3441.2379999999998"
"392","2014","Heffingen","3443.5950089382204"
"393","2012","Betzdorf","3451.8690000000001"
"394","2016","Useldange","3451.8734234857452"
"395","2013","Berdorf","3454.7161489281598"
"396","2010","Erpeldange","3455.27"
"397","2013","Consdorf","3456.88824622433"
"398","2014","Tuntange","3458.0376840218237"
"399","2017","Parc Hosingen","3463.0227289999998"
"400","2011","Bech","3463.1098983376228"
"401","2011","Biwer","3463.2481254133045"
"402","2010","Lintgen","3464.7"
"403","2011","Betzdorf","3466.9926553680275"
"404","2012","Lenningen","3468.9479999999999"
"405","2010","Junglinster","3469.25"
"406","2014","Nommern","3470.8367081487904"
"407","2015","Koerich","3471.42663098614"
"408","2016","Esch-sur-Sûre","3471.8111531040836"
"409","2016","Berdorf","3473.1476670956208"
"410","2014","Waldbredimus","3475.460929732757"
"411","2012","Lintgen","3476.6570000000002"
"412","2015","Redange-sur-Attert","3486.15537301941"
"413","2013","Dalheim","3489.6369268141898"
"414","2016","Vallée de l'Ernz","3492.547362500176"
"415","2014","Schengen","3495.9623380605735"
"416","2018","Remich","3501.7689999999998"
"417","2018","Mondorf-les-Bains","3506.1019999999999"
"418","2015","Stadtbredimus","3506.2103462894001"
"419","2016","Esch-sur-Alzette","3510.2260989675196"
"420","2014","Hobscheid","3511.5241364510798"
"421","2018","Bourscheid","3514.223"
"422","2017","Beaufort","3515.4655969999999"
"423","2013","Sanem","3517.3631895683102"
"424","2017","Esch-sur-Alzette","3520.794144"
"425","2020","Lac de la Haute-Sûre","3521.4459999999999"
"426","2016","Wahl","3523.023943294661"
"427","2016","Feulen","3524.0309493403138"
"428","2014","Sanem","3526.1741427441229"
"429","2013","Bous","3526.2864330873199"
"430","2011","Erpeldange","3527.6216951633864"
"431","2017","Weiswampach","3527.697557"
"432","2011","Nommern","3528.1970536586191"
"433","2011","Bettembourg","3529.8813547144318"
"434","2013","Steinfort","3530.7163400534"
"435","2010","Echternach","3531.5"
"436","2014","Ell","3532.1443655899629"
"437","2014","Schieren","3535.6428503784905"
"438","2011","Schengen","3537.2221155240654"
"439","2015","Wormeldange","3539.6512002698501"
"440","2012","Schieren","3540.25"
"441","2013","Heffingen","3540.9670757736699"
"442","2017","Vallée de l'Ernz","3545.029513"
"443","2020","Wiltz","3545.3049999999998"
"444","2014","Boevange-sur-Attert","3547.615953289634"
"445","2014","Stadtbredimus","3548.6974996459462"
"446","2010","Weiler-la-Tour","3549.15"
"447","2018","Vianden","3550.277"
"448","2012","Hobscheid","3551.9549999999999"
"449","2014","Mondorf-les-Bains","3553.0695651474862"
"450","2010","Frisange","3555.59"
"451","2013","Mertzig","3559.7642650544899"
"452","2017","Diekirch","3563.0564420000001"
"453","2013","Waldbredimus","3564.9231544018799"
"454","2011","Lorentzweiler","3565.2214377736163"
"455","2017","Grevenmacher","3565.790156"
"456","2013","Hobscheid","3570.8224926008402"
"457","2012","Mondorf-les-Bains","3571.26"
"458","2013","Lorentzweiler","3571.35522378017"
"459","2018","Rambrouch","3576.4679999999998"
"460","2015","Schengen","3576.5731142068898"
"461","2018","Clervaux","3576.61"
"462","2012","Garnich","3578.2579999999998"
"463","2017","Berdorf","3581.3807579999998"
"464","2011","Fischbach","3584.6080787177066"
"465","2012","Mertzig","3585.5659999999998"
"466","2017","Grosbous","3587.2521470000002"
"467","2015","Dudelange","3588.00215464024"
"468","2020","Rambrouch","3588.4490000000001"
"469","2014","Vichten","3589.0549779133544"
"470","2013","Moyenne nationale","3589.7901083257543"
"471","2017","Mertzig","3591.0299500000001"
"472","2015","Wahl","3596.4486939767398"
"473","2010","Sandweiler","3596.66"
"474","2012","Koerich","3597.5610000000001"
"475","2015","Saeul","3599.6646978927301"
"476","2017","Rosport","3601.3191019999999"
"477","2013","Beckerich","3602.22103297682"
"478","2017","Kayl","3602.983248"
"479","2010","Bascharage","3603.57"
"480","2019","Boulaide","3604.4389999999999"
"481","2013","Bissen","3605.0345544974002"
"482","2015","Vianden","3605.3263065929"
"483","2012","Flaxweiler","3605.4949999999999"
"484","2010","Roeser","3607.38"
"485","2017","Larochette","3608.6403789999999"
"486","2015","Parc Hosingen","3610.0128211506899"
"487","2011","Echternach","3610.4099621475211"
"488","2016","Mondorf-les-Bains","3611.3564398689696"
"489","2011","Junglinster","3613.5363800656451"
"490","2011","Lenningen","3618.3546519959655"
"491","2014","Dalheim","3619.2793821262785"
"492","2013","Koerich","3619.7156500741999"
"493","2015","Boevange-sur-Attert","3621.6319214509599"
"494","2015","Manternach","3625.5271831762002"
"495","2010","Lorentzweiler","3629.33"
"496","2012","Boevange-sur-Attert","3629.6489999999999"
"497","2012","Vichten","3632.8629999999998"
"498","2011","Bascharage","3634.542351803485"
"499","2013","Flaxweiler","3635.1101618579801"
"500","2017","Petange","3635.6088060000002"
"501","2017","Saeul","3636.5830230000001"
"502","2013","Bettembourg","3636.7339161556602"
"503","2015","Septfontaines","3642.65844156199"
"504","2013","Stadtbredimus","3643.67263555615"
"505","2011","Roeser","3643.7832466718037"
"506","2012","Lorentzweiler","3643.931"
"507","2014","Steinfort","3644.4683261371501"
"508","2014","Moyenne nationale","3647.1236081558709"
"509","2017","Rambrouch","3648.0709280000001"
"510","2016","Schifflange","3648.8623533431428"
"511","2017","Differdange","3651.5433779999998"
"512","2010","Kehlen","3653.84"
"513","2012","Bettembourg","3657.1790000000001"
"514","2012","Roeser","3659.7420000000002"
"515","2018","Grosbous","3668.4209999999998"
"516","2019","Schengen","3674.03"
"517","2014","Bettembourg","3679.3992753688467"
"518","2017","Echternach","3680.600015"
"519","2016","Kayl","3681.8713399304638"
"520","2017","Feulen","3682.2741970000002"
"521","2017","Bettendorf","3683.05629"
"522","2011","Leudelange","3683.2203409321178"
"523","2013","Mondorf-les-Bains","3684.7325639799201"
"524","2017","Heffingen","3687.3316989999998"
"525","2016","Schengen","3689.6809494837084"
"526","2010","Garnich","3690.83"
"527","2012","Mersch","3692.6329999999998"
"528","2019","Berdorf","3694.5"
"529","2010","Schieren","3698.8"
"530","2010","Mamer","3699.21"
"531","2018","Useldange","3700.7429999999999"
"532","2016","Echternach","3705.1858592111048"
"533","2017","Useldange","3713.027955"
"534","2017","Bourscheid","3714.2434880000001"
"535","2016","Redange-sur-Attert","3714.4205053168412"
"536","2019","Stadtbredimus","3715.0790000000002"
"537","2011","Weiler-la-Tour","3715.2654268098872"
"538","2018","Petange","3715.3090000000002"
"539","2015","Berdorf","3716.0147385806499"
"540","2014","Ettelbruck","3716.4345290142542"
"541","2015","Sanem","3717.1866791378402"
"542","2011","Mersch","3718.4183330062292"
"543","2012","Steinfort","3720.0889999999999"
"544","2017","Hobscheid","3720.1486949999999"
"545","2010","Leudelange","3728.1"
"546","2019","Esch-sur-Sûre","3729.6979999999999"
"547","2013","Mersch","3730.7189210200199"
"548","2017","Préizerdaul","3737.2155539999999"
"549","2013","Fischbach","3739.3905521997399"
"550","2018","Weiswampach","3740.6329999999998"
"551","2011","Garnich","3742.8314600901854"
"552","2018","Reisdorf","3743.5059999999999"
"553","2011","Mondorf-les-Bains","3743.7967183612914"
"554","2015","Ettelbruck","3744.03924567791"
"555","2012","Biwer","3751.8760000000002"
"556","2012","Erpeldange","3754.65"
"557","2015","Grosbous","3755.6390171989201"
"558","2019","Goesdorf","3758.36"
"559","2019","Parc Hosingen","3759.7069999999999"
"560","2018","Rumelange","3766.96"
"561","2015","Mertert","3767.0531767358798"
"562","2018","Stadtbredimus","3768.058"
"563","2011","Frisange","3769.1827996501565"
"564","2013","Mondercange","3769.5237759587499"
"565","2014","Lorentzweiler","3774.4723154544818"
"566","2017","Redange-sur-Attert","3775.782189"
"567","2013","Nommern","3775.8294305632899"
"568","2010","Hesperange","3776.49"
"569","2017","Schengen","3777.2717510000002"
"570","2016","Saeul","3780.0429164367274"
"571","2015","Biwer","3785.9442240041999"
"572","2017","Schifflange","3786.4022850000001"
"573","2019","Préizerdaul","3792.4369999999999"
"574","2010","Dippach","3796"
"575","2011","Schieren","3801.8460717121784"
"576","2011","Contern","3802.1219190167371"
"577","2013","Vichten","3804.72509031454"
"578","2015","Beckerich","3808.1958058345099"
"579","2014","Mertzig","3808.3464606090624"
"580","2020","Wincrange","3813.4920000000002"
"581","2012","Beckerich","3813.9009999999998"
"582","2010","Kopstal","3814.02"
"583","2015","Heffingen","3816.3446706684199"
"584","2012","Kaerjeng","3818.623"
"585","2014","Mersch","3823.1122189626549"
"586","2016","Stadtbredimus","3823.2281779567097"
"587","2019","Vianden","3824.864"
"588","2016","Beckerich","3824.9408648347139"
"589","2012","Nommern","3825.7950000000001"
"590","2018","Bech","3828.9369999999999"
"591","2015","Lintgen","3831.0408027543999"
"592","2013","Lenningen","3838.3800674428599"
"593","2020","Schengen","3840.6770000000001"
"594","2016","Parc Hosingen","3842.0352497958152"
"595","2015","Ell","3843.5687680984602"
"596","2014","Flaxweiler","3844.5100350058128"
"597","2020","Boulaide","3845.0650000000001"
"598","2012","Mondercange","3847.7910000000002"
"599","2012","Contern","3854.3690000000001"
"600","2013","Betzdorf","3858.9690043197002"
"601","2011","Dippach","3859.3893777865046"
"602","2016","Flaxweiler","3863.9488205989205"
"603","2014","Fischbach","3866.0569071259815"
"604","2015","Mertzig","3881.6918897667601"
"605","2016","Dalheim","3882.674545561079"
"606","2010","Mondorf-les-Bains","3884.07"
"607","2020","Beaufort","3886.183"
"608","2012","Kehlen","3887.9119999999998"
"609","2017","Lenningen","3888.423256"
"610","2018","Rosport-Mompach","3891.4180000000001"
"611","2013","Biwer","3891.4781768105399"
"612","2015","Flaxweiler","3893.28067432014"
"613","2016","Bourscheid","3894.2642048184839"
"614","2010","Reckange-sur-Mess","3894.83"
"615","2011","Kehlen","3896.1181003232673"
"616","2018","Saeul","3901.2179999999998"
"617","2019","Weiswampach","3903.223"
"618","2016","Schieren","3911.0948052234517"
"619","2014","Biwer","3916.8671059664225"
"620","2013","Echternach","3918.4153070837601"
"621","2012","Weiler-la-Tour","3920.884"
"622","2016","Ettelbruck","3921.5647506947066"
"623","2012","Echternach","3921.6860000000001"
"624","2013","Roeser","3923.4131387198099"
"625","2010","Steinsel","3923.54"
"626","2016","Ell","3923.5673512527842"
"627","2010","Schuttrange","3924.34"
"628","2018","Beaufort","3924.57"
"629","2016","Mertzig","3924.639774871242"
"630","2018","Diekirch","3930.1239999999998"
"631","2018","Préizerdaul","3932.2579999999998"
"632","2010","Luxembourg-Ville","3936.46"
"633","2014","Koerich","3938.7756460776527"
"634","2015","Hobscheid","3940.3834418199499"
"635","2015","Bourscheid","3941.2218574830699"
"636","2015","Moyenne nationale","3943"
"637","2014","Dippach","3944.8117514445307"
"638","2016","Waldbillig","3947.316820071715"
"639","2019","Beaufort","3948.4490000000001"
"640","2018","Differdange","3949.0459999999998"
"641","2015","Bettembourg","3957.3520828578098"
"642","2016","Dudelange","3967.3534280044723"
"643","2018","Redange-sur-Attert","3969.7629999999999"
"644","2015","Vichten","3973.50005475747"
"645","2019","Bettendorf","3974.4920000000002"
